State/UT,Constituency,Electors_Male,Electors_Female,Electors_Total,Voted_Male,Voted_Female,Voted_Total
MAHARASHTRA CODE : S13,Hingoli NO : 29,523445,510499,1033944,390689,341937,732626
MAHARASHTRA CODE : S13,Nanded NO : 30,606967,584460,1191427,424828,359173,784001
MAHARASHTRA CODE : S13,Parbhani NO : 31,530062,525131,1055193,384838,320943,705781
MAHARASHTRA CODE : S13,Jalna NO : 32,557066,549065,1106131,424434,377317,801751
MAHARASHTRA CODE : S13,Aurangabad NO : 33,709925,662284,1372209,496755,409710,906465
MAHARASHTRA CODE : S13,Beed NO : 34,598410,577461,1175871,456650,394941,851591
MAHARASHTRA CODE : S13,Latur NO : 35,564881,532159,1097040,421210,373735,794945
MAHARASHTRA CODE : S13,Osmanabad NO : 36,483488,452836,936324,356804,310258,667062
MAHARASHTRA CODE : S13,Sholapur NO : 37,526443,499563,1026006,337194,293575,630769
MAHARASHTRA CODE : S13,Pandharpur NO : 38,573850,532511,1106361,439449,388092,827541
MAHARASHTRA CODE : S13,Ahmednagar NO : 39,584353,562759,1147112,422576,353290,775866
MAHARASHTRA CODE : S13,Kopargaon NO : 40,485668,466740,952408,367045,321592,688637
MAHARASHTRA CODE : S13,Khed NO : 41,541470,528939,1070409,373162,317722,690884
MAHARASHTRA CODE : S13,Pune NO : 42,745276,689825,1435101,408264,341190,749454
MAHARASHTRA CODE : S13,Baramati NO : 43,767062,695186,1462248,514887,408149,923036
MAHARASHTRA CODE : S13,Satara NO : 44,483173,501296,984469,355773,347254,703027
MAHARASHTRA CODE : S13,Karad NO : 45,509017,525683,1034700,382092,377983,760075
MAHARASHTRA CODE : S13,Sangli NO : 46,525896,505711,1031607,383473,351986,735459
MAHARASHTRA CODE : S13,Ichalkaranji NO : 47,566886,549773,1116659,424029,386934,810963
MAHARASHTRA CODE : S13,Kolhapur NO : 48,544547,527051,1071598,403460,371540,775000
MANIPUR CODE : S14,Inner Manipur NO : 1,318326,339602,657928,225180,221447,446627
MANIPUR CODE : S14,Outer Manipur NO : 2,354324,360087,714411,228254,226361,454615
MEGHALAYA CODE : S15,Shillong NO : 1,363068,361321,724389,194693,174317,369010
MEGHALAYA CODE : S15,Tura NO : 2,230526,223335,453861,155355,137292,292647
MIZORAM CODE : S16,Mizoram NO : 1,225360,224046,449406,152172,141341,293513
NAGALAND CODE : S17,Nagaland NO : 1,505399,450515,955914,389724,339119,728843
ORISSA CODE : S18,Mayurbhanj NO : 1,484855,479499,964354,326387,251379,577766
ORISSA CODE : S18,Balasore NO : 2,634217,608361,1242578,427125,348749,775874
ORISSA CODE : S18,Bhadrak NO : 3,611540,583606,1195146,342403,341926,684329
ORISSA CODE : S18,Jajpur NO : 4,606141,565070,1171211,347797,251282,599079
ORISSA CODE : S18,Kendrapara NO : 5,577208,543975,1121183,341610,283329,624939
ORISSA CODE : S18,Cuttack NO : 6,654065,561184,1215249,375545,249439,624984
