pc91_state_id,pc91_district_id,ec98_count_own_f,ec98_count_all
25,41,2360.0,57682.0
25,42,2940.0,49655.0
25,43,3255.0,64957.0
25,44,805.0,60566.0
25,45,6331.0,182188.0
25,46,1382.0,65189.0
25,47,1880.0,87009.0
25,48,2325.0,80910.0
25,49,3717.0,90812.0
25,50,1004.0,61993.0
25,51,1680.0,41012.0
25,52,3342.0,45737.0
25,53,2678.0,74695.0
25,54,4584.0,141486.0
25,55,6441.0,135164.0
25,56,2448.0,118879.0
25,57,3779.0,115573.0
25,58,4664.0,125037.0
25,59,3195.0,63864.0
25,60,2927.0,71132.0
25,61,14614.0,299375.0
25,62,2678.0,69033.0
25,63,1314.0,40265.0
26,1,1987.0,161039.0
26,2,3885.0,234466.0
26,3,4502.15193146921,209892.44900598028
26,4,3940.0087531427507,209306.50796163516
26,5,12776.0,224947.0
26,6,44663.0,505245.0
26,7,68748.0,415229.0
26,8,13934.748036117382,762068.5400451467
26,9,11472.0,551536.0
26,10,12308.0,1256044.0
26,11,8479.0,613620.0
26,12,14549.666711687216,517213.531831646
26,13,31819.0,761062.0
26,14,6833.0,230506.0
26,15,2851.0,195886.0
26,16,5870.438960661925,682940.7257947453
26,17,3582.0,184375.0
27,1,995.0,35550.0
27,2,30.0,8396.0
28,1,2118.4798147550628,148905.88520887506
29,1,92.0,23412.0
30,1,600.0,23265.0
30,2,326.0,6540.0
31,1,52494.87507755909,9455930.237776697
32,1,10.0,5868.0
33,1,4322.0,104471.0
33,2,568.0,18709.0
33,3,20.0,2188.0
33,4,91.0,3999.0
