st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute,Constituency Clean
NL,Nagaland,S1701,18,5,nagaland,mokokchung,0.069266138940519,0.7176867823696093,0.0641620866420225,nagaland
NL,Nagaland,S1701,18,4,nagaland,wokha,0.0686522177682525,0.6621136883901535,0.0635934038188011,nagaland
NL,Nagaland,S1701,15,1,manipur,senapati,0.0421894969901124,0.1965508222317815,0.0390806561859539,nagaland
NL,Nagaland,S1701,15,2,manipur,tamenglong,0.0417701994573516,0.1571635370332642,0.0386922556624472,nagaland
NL,Nagaland,S1701,15,8,manipur,ukhrul,0.0200690861321562,0.065040650042008,0.0185902442800137,nagaland
NL,Nagaland,S1701,3,11,arunachal pradesh,tirap,0.0080963640256457,0.0624004986917253,0.0074997627707375,nagaland
OD,Aska,S1810,19,12,odisha,ganjam,0.907976159930994,0.383723402841145,0.8974008236439545,aska
OD,Aska,S1810,19,13,odisha,puri,0.0762754932836819,0.0429440331376309,0.0753871010245767,aska
OD,Aska,S1810,19,8,odisha,kandhamal,0.0157483467853242,0.0075045248620707,0.0155649233976084,aska
OD,Balasore,S1802,19,5,odisha,baleshwar,0.632738903069037,0.365314711115261,0.5709873570599949,balasore
OD,Balasore,S1802,19,4,odisha,mayurbhanj,0.2592569223262292,0.0884327387301295,0.2339549917992169,balasore
OD,Balasore,S1802,26,13,west bengal,purba medinipur,0.1080041746047337,0.0275284236085105,0.097463610835186,balasore
OD,Berhampur,S1811,19,12,odisha,ganjam,0.96148542640351,0.4691292027464706,0.9272832171585124,berhampur
OD,Berhampur,S1811,19,8,odisha,kandhamal,0.0223982109834874,0.0123227456163635,0.0216014560065177,berhampur
OD,Berhampur,S1811,2,1,andhra pradesh,srikakulam,0.0083548123775825,0.0104456388395018,0.0080576128222968,berhampur
OD,Berhampur,S1811,19,11,odisha,koraput,0.0077615502354199,0.0018219415945852,0.0074854543551003,berhampur
OD,Bhadrak,S1803,19,5,odisha,baleshwar,0.9940435792374368,0.4918390543995749,0.7745478587400383,bhadrak
OD,Bhadrak,S1803,19,6,odisha,cuttack,0.0059564207625633,0.0016194649663809,0.0046411777549404,bhadrak
OD,Bhubaneswar,S1809,19,13,odisha,puri,0.9198412119930994,0.5038048153456812,0.91620432553995,bhubaneswar
OD,Bhubaneswar,S1809,19,6,odisha,cuttack,0.0711303224400098,0.0333680219323891,0.0708490859584113,bhubaneswar
OD,Bhubaneswar,S1809,19,12,odisha,ganjam,0.0090284655668907,0.0037118415914859,0.008992768640416,bhubaneswar
OD,Bolangir,S1816,19,9,odisha,balangir,0.765981355614615,0.6984932468159238,0.7634629392404259,bolangir
