st_name,pc_name,pc_code,pc91_state_id,pc91_district_id,state_clean,district_clean,pc_weight_relative,dist_weight_relative,pc_weight_absolute
AP,Visakhapatnam,S0104,2,1,andhra pradesh,srikakulam,0.015204942789756938,0.011671987574742308,0.0139080288413052
AP,Warangal,S0139,2,21,andhra pradesh,warangal,0.9602805892172429,0.5991601429257334,0.958938207234037
AP,Warangal,S0139,2,22,andhra pradesh,khammam,0.03133769147921995,0.015435234279978676,0.03129388433273658
AP,Warangal,S0139,2,20,andhra pradesh,karimnagar,0.008381719303537118,0.00576250712511206,0.008370002447955847
AR,Arunachal East,S0202,3,8,arunachal pradesh,lower dibang valley,0.3119980803528338,1.0,0.2971245146629558
AR,Arunachal East,S0202,3,7,arunachal pradesh,east siang,0.24291290701123022,0.974477681974152,0.2313327681999116
AR,Arunachal East,S0202,3,9,arunachal pradesh,lohit,0.2385911851231979,0.9840799821915538,0.2272170713435793
AR,Arunachal East,S0202,3,10,arunachal pradesh,changlang,0.11873479338212382,0.9275829002402635,0.11307447089858176
AR,Arunachal East,S0202,3,11,arunachal pradesh,tirap,0.0402789811065932,0.7661573421830231,0.03835880239673459
AR,Arunachal East,S0202,3,6,arunachal pradesh,west siang,0.022251743020285212,0.10963117075029014,0.021190958411763855
AR,Arunachal East,S0202,4,18,assam,tinsukia,0.01509935484018683,0.14966201913434743,0.014379538725176378
AR,Arunachal East,S0202,4,11,assam,dhemaji,0.010132955163549005,0.17747602922212186,0.009649897145733013
AR,Arunachal West,S0201,3,4,arunachal pradesh,lower subansiri,0.32243480695980115,1.0,0.3172112498027949
AR,Arunachal West,S0201,3,6,arunachal pradesh,west siang,0.17140437933771616,0.8903688292497098,0.16862756817122393
AR,Arunachal West,S0201,3,5,arunachal pradesh,upper subansiri,0.15217637977579854,1.0,0.14971106895777547
AR,Arunachal West,S0201,3,3,arunachal pradesh,east kameng,0.14185291851546436,1.0,0.139554851396904
AR,Arunachal West,S0201,3,2,arunachal pradesh,west kameng,0.1204726291969936,1.0,0.11852093027714415
AR,Arunachal West,S0201,3,1,arunachal pradesh,tawang,0.04474761831484525,1.0,0.04402269117651482
AR,Arunachal West,S0201,4,9,assam,sonitpur,0.023370550986776574,0.18460913814865362,0.022991939849780513
AR,Arunachal West,S0201,4,11,assam,dhemaji,0.008915562169188934,0.1646380951053879,0.00877112692965412
AR,Arunachal West,S0201,4,10,assam,lakhimpur,0.008590939566583435,0.11028548317533177,0.008451763327263747
AR,Arunachal West,S0201,3,7,arunachal pradesh,east siang,0.006034215176832073,0.025522318025848024,0.005936458770906002
AS,Autonomous District,S0303,4,19,assam,karbi anglong,0.5360259077844935,0.8052194450012042,0.5360269140173617
AS,Autonomous District,S0303,4,20,assam,dima hasao,0.28206703179507325,0.8942230026130138,0.28206756129395427
